Game_ID;Name;Genre;Publisher;Platform;Release_date;Cover_url;Description
1;Thief II: The Metal Age;Shooter;Eidos Interactive;PC;2000-03-21;https://images.igdb.com/igdb/image/upload/t_cover_big/co698n.jpg;The ultimate thief is back! Tread softly as you make your way through 15 new complex, non-linear levels full of loot to steal and guards to outsmart. Improved enemy AI, new gadgets and a riveting story will draw you into the world of Thief II: The Metal Age, a place of powerful new technologies, fanatical religions and corruption.
2;Thief: The Dark Project;Simulator;Looking Glass Studios;PC;1998-11-30;https://images.igdb.com/igdb/image/upload/t_cover_big/co22ne.jpg;Thief is a first-person stealth game that likes the dark. You sneak through the ruins of haunted cathedrals, subterranean ruins, and forbidding prisons, in a dark and sinister city - heavily inspired by Steampunk and the Dark Ages. Garrett finds an ally in the shadows, as he steals for money and uncovers the hidden agendas of allies and enemies. The story that unravels is one of deception and revenge.
3;Thief: Deadly Shadows;Shooter;Ion Storm;PC;2004-05-25;https://images.igdb.com/igdb/image/upload/t_cover_big/co2rom.jpg;In the third instalment of the Thief series, master-thief Garrett is contacted by Keeper Artemus with a mission to steal two valuable artefacts. At the same time, Garrett learns about a prophecy: the coming of a Dark Age. He embarks upon a journey to unravel a mystery that threatens the existence of the order of Keepers. Is it possible that there is a traitor in their midst?The stealth and thievery game, Thief: Deadly Shadows comes with a number of improvements over two previous parts. Released in 2004, it left behind the aging Dark Engine, using a heavily modified Unreal engine instead. Realistic lighting effects have been implemented: each character and object now casts its own shadow. A third person's view has been made available in addition to the standard first person perspective.The stealth system that made Thief: The Dark Project and Thief 2: The Metal Age famous is still in place. You have to stick to the shadows and avoid making noise, as guards will react to anything suspicious. It is also the first game of the series that introduced free roaming. The City, divided into several unlockable districts, is yours to explore. You can interact with the city's inhabitants: pickpocket, steal, or even mug them for loot.
4;Thief;Shooter;Eidos Montréal;PC;2014-02-25;https://images.igdb.com/igdb/image/upload/t_cover_big/co22nc.jpg;There is a rising tide of fear in The City. Hatred saturates every stone and whilst the rich prosper, the less fortunate face misery and repression. Ravaged with sickness and famine, they wait for something to change.Into this shadowy world steps Garrett, THE master thief in Thief, a reinvention of a franchise that helped define an entire genre of games. This first-person adventure features intelligent design that allows players to take full control, with freedom to choose their path through the game's levels and how they approach and overcome each challenge.
5;Baldur's Gate;Role-playing (RPG);BioWare;PC;1998-12-21;https://images.igdb.com/igdb/image/upload/t_cover_big/co20gb.jpg;Baldur's Gate is a fantasy role-playing video game developed by BioWare and published in 1998 by Interplay Entertainment. It is the first game in the Baldur's Gate series and takes place in the Forgotten Realms, a high fantasy campaign setting, using a modified version of the Advanced Dungeons & Dragons (AD&D) 2nd edition rules. It was the first game to use the Infinity Engine for its graphics, with Interplay using the engine for other Forgotten Realms-licensed games, including the Icewind Dale series, as well as other licensed D&D campaign worlds such as Planescape: Torment. The game's story focuses on players controlling a protagonist of their own creation who finds themselves travelling across the Sword Coast alongside a party of companions, to unravel the mystery surrounding a sudden iron crisis affecting the region and attempting to discover the culprits behind it, all while uncovering dark secrets about their origins and dealing with attempts on their life.
6;Baldur's Gate II: Shadows of Amn;Role-playing (RPG);BioWare;PC;2000-09-21;https://images.igdb.com/igdb/image/upload/t_cover_big/co71yr.jpg;Every World has conflict. Good and evil. Friend and foe. Safety and danger. In Baldur's Gate II: Shadows of Amn, you'll find yourself between these factions. This epic sequel to the Roleplaying Game of the Year will immerse you in a world of intrigue, adventure and fierce combat where your ability to discern the difference between these sides - with the assistance of steel and spell - determines your fate. Set in the Forgotten Realms campaign setting, Baldur's Gate II is the most stunning Advanced Dungeons and Dragons game to date.
7;Jagged Alliance;Role-playing (RPG);Sir-tech Software;DOS;1994-06-2;https://images.igdb.com/igdb/image/upload/t_cover_big/dwovjbfacbjx7fr1gtut.jpg;"Desperately you are called to the island of Metavira by scientist Jack Richards and his lovely daughter Brenda. You hear of their plight - the Fallow trees, their precious, medicinal sap on which countless of lives depend, are under the control of the evil and traitorous Santino. With most of the island already in his grasp, you must hand-pick a commando force of mercenaries and take back the island by force. That is, if you can...Jagged Alliance features: 60 mercenaries... 60 attitudes... 60 voices; intense turn-based combat lets you plan every action; non-linear gameplay; three exciting levels of play will determine if you're as good as you think you are and a replay feature to look for Santino's Achilles heel - you'll need all the help you can get!An exciting game design approach - role playing and strategy - puts you in the thick of the action!"
8;Jagged Alliance: Deadly Games;Role-playing (RPG);Sir-tech Software;DOS;1995-12-31;https://images.igdb.com/igdb/image/upload/t_cover_big/co29gc.jpg;The enemy is on the run. One more mortar shell should take them out. Still, you have to blow up the bridge by sundown, and Postie is starting to talk to himself again. Maybe you shouldn't let him keep that dynamite...More ways to play. Play the new solo campaign or choose multiplayer mode via your network connection. More power. The included scenario editor provides infinite replay ability. Create your own maps, traps and enemies. Use the campaign editor to create your own deadly games. More mercenaries. Choose from 70 different mercs, including 10 new ones - plus all 60 of the original Jagged Alliance mercs. More weapons. Fun new war toys include mortars, grenade launchers, boobytrap kits and more! More terrain. Skirmish through jungles, deserts, towns and frozen wastelands.And more attitude than ever!
9;Jagged Alliance 2;Role-playing (RPG);Sir-Tech Canada;PC;1999-07-23;https://images.igdb.com/igdb/image/upload/t_cover_big/co28qh.jpg;Jagged Alliance 2 is a perfect blend of strategy, roleplaying and tactical combat. With dozen of new weapons, 150+ individual in-game characters, realistic combat physics and more than 10,000 lines of digitalized speech. Welcome to the killing grounds!
10;Jade Empire: Special Edition;Role-playing (RPG);BioWare;PC;2007-02-27;https://images.igdb.com/igdb/image/upload/t_cover_big/co21x0.jpg;Step into the role of an aspiring martial-arts master and follow the path of the open palm or the closed fist. In this multi-award-winning action-RPG, your choices and actions will determine the fate of the entire Jade Empire. Will you prevent the destruction of this beautiful land, or will you crush it beneath your heel? Are you a warrior who uses his strength and fighting mastery to bring peace, or will you instead use your power to bring pain and ruin? The choice is yours.
